,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
65,Face the Fire,0.736,0.922,0,-4.924,1,0.0354,0.257,0.851,0.0876,0.93,131.004,audio_features,5OsmHpSZ2CrUm2qWx6VHCy,spotify:track:5OsmHpSZ2CrUm2qWx6VHCy,https://api.spotify.com/v1/tracks/5OsmHpSZ2CrUm2qWx6VHCy,https://api.spotify.com/v1/audio-analysis/5OsmHpSZ2CrUm2qWx6VHCy,333949,4
66,Charcoal Baby,0.622,0.46,7,-8.389,0,0.0372,0.14,0.000369,0.119,0.514,183.241,audio_features,3bBmpVl9rQKJsFFGLFilIS,spotify:track:3bBmpVl9rQKJsFFGLFilIS,https://api.spotify.com/v1/tracks/3bBmpVl9rQKJsFFGLFilIS,https://api.spotify.com/v1/audio-analysis/3bBmpVl9rQKJsFFGLFilIS,242341,4
67,Frisk,0.525,0.808,5,-9.829,1,0.0316,0.571,0.971,0.138,0.866,170.061,audio_features,4CXw0LVJVBGi2nu5YzagsY,spotify:track:4CXw0LVJVBGi2nu5YzagsY,https://api.spotify.com/v1/tracks/4CXw0LVJVBGi2nu5YzagsY,https://api.spotify.com/v1/audio-analysis/4CXw0LVJVBGi2nu5YzagsY,210588,4
68,Wax and Wane,0.59,0.748,2,-6.817,0,0.0566,0.00217,0.0923,0.139,0.576,99.799,audio_features,4BUCgw9DXRdbObkhgIARgV,spotify:track:4BUCgw9DXRdbObkhgIARgV,https://api.spotify.com/v1/tracks/4BUCgw9DXRdbObkhgIARgV,https://api.spotify.com/v1/audio-analysis/4BUCgw9DXRdbObkhgIARgV,244000,4
69,So Heavy I Fell Through the Earth - Algorithm Mix,0.229,0.671,7,-7.94,1,0.0356,0.00946,0.0343,0.069,0.326,90.013,audio_features,7vRvuaS5TalFruaBoApKUg,spotify:track:7vRvuaS5TalFruaBoApKUg,https://api.spotify.com/v1/tracks/7vRvuaS5TalFruaBoApKUg,https://api.spotify.com/v1/audio-analysis/7vRvuaS5TalFruaBoApKUg,232961,4
70,Master of None,0.492,0.344,5,-15.259,1,0.0259,0.674,0.531,0.0933,0.247,86.485,audio_features,3stWWPN41byqp8loPdy92u,spotify:track:3stWWPN41byqp8loPdy92u,https://api.spotify.com/v1/tracks/3stWWPN41byqp8loPdy92u,https://api.spotify.com/v1/audio-analysis/3stWWPN41byqp8loPdy92u,199414,4
71,Nites Like This,0.524,0.536,9,-7.345,1,0.0372,0.397,0.0511,0.0807,0.384,186.011,audio_features,4gSobDUNw9x2aYLhxX116m,spotify:track:4gSobDUNw9x2aYLhxX116m,https://api.spotify.com/v1/tracks/4gSobDUNw9x2aYLhxX116m,https://api.spotify.com/v1/audio-analysis/4gSobDUNw9x2aYLhxX116m,343231,4
72,Colourless Dream,0.36,0.775,11,-13.385,0,0.0417,0.00345,0.328,0.0545,0.781,153.128,audio_features,6dT1CNwGRjm5EGN9Tshxl8,spotify:track:6dT1CNwGRjm5EGN9Tshxl8,https://api.spotify.com/v1/tracks/6dT1CNwGRjm5EGN9Tshxl8,https://api.spotify.com/v1/audio-analysis/6dT1CNwGRjm5EGN9Tshxl8,287627,4
73,Paint Me Silver,0.335,0.825,8,-5.598,1,0.0506,0.00523,0.00429,0.226,0.682,177.156,audio_features,6YGVK9xgH2LI4Ghw6gqUxx,spotify:track:6YGVK9xgH2LI4Ghw6gqUxx,https://api.spotify.com/v1/tracks/6YGVK9xgH2LI4Ghw6gqUxx,https://api.spotify.com/v1/audio-analysis/6YGVK9xgH2LI4Ghw6gqUxx,224973,4
74,Eyes for Ellis,0.623,0.651,7,-3.853,0,0.0338,0.0105,0.156,0.103,0.427,133.003,audio_features,6wSySPqkbgLdpUzceYNfWe,spotify:track:6wSySPqkbgLdpUzceYNfWe,https://api.spotify.com/v1/tracks/6wSySPqkbgLdpUzceYNfWe,https://api.spotify.com/v1/audio-analysis/6wSySPqkbgLdpUzceYNfWe,199835,4
