,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
18,Labrinth,Imagination,0.323,0.36,2,-10.97,1,0.0803,0.568,0.0,0.375,0.143,83.681,audio_features,6OvgR29yzwUQ0jNVj3unPc,spotify:track:6OvgR29yzwUQ0jNVj3unPc,https://api.spotify.com/v1/tracks/6OvgR29yzwUQ0jNVj3unPc,https://api.spotify.com/v1/audio-analysis/6OvgR29yzwUQ0jNVj3unPc,90000,4
19,Robyn,Dancing On My Own - Radio Edit,0.573,0.926,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.219,117.047,audio_features,7g13jf3zqlP5S68Voo5v9m,spotify:track:7g13jf3zqlP5S68Voo5v9m,https://api.spotify.com/v1/tracks/7g13jf3zqlP5S68Voo5v9m,https://api.spotify.com/v1/audio-analysis/7g13jf3zqlP5S68Voo5v9m,278080,4
20,Robyn,Call Your Girlfriend,0.599,0.887,8,-2.377,1,0.11,0.00101,0.0545,0.0716,0.461,125.097,audio_features,2sCoROOlNQyFpRQEe6A5lv,spotify:track:2sCoROOlNQyFpRQEe6A5lv,https://api.spotify.com/v1/tracks/2sCoROOlNQyFpRQEe6A5lv,https://api.spotify.com/v1/audio-analysis/2sCoROOlNQyFpRQEe6A5lv,227347,4
21,Sofi Tukker,Fantasy - R3HAB Remix,0.7,0.751,4,-3.853,0,0.0566,0.113,0.00129,0.241,0.246,124.027,audio_features,25FAIsGzBQ4nOHglPi6NWY,spotify:track:25FAIsGzBQ4nOHglPi6NWY,https://api.spotify.com/v1/tracks/25FAIsGzBQ4nOHglPi6NWY,https://api.spotify.com/v1/audio-analysis/25FAIsGzBQ4nOHglPi6NWY,188347,4
22,Bonny Light Horseman,Deep In Love,0.618,0.558,5,-8.184,1,0.0251,0.604,0.395,0.124,0.336,111.709,audio_features,2ehQ2UuXplkqly0XBBAPud,spotify:track:2ehQ2UuXplkqly0XBBAPud,https://api.spotify.com/v1/tracks/2ehQ2UuXplkqly0XBBAPud,https://api.spotify.com/v1/audio-analysis/2ehQ2UuXplkqly0XBBAPud,309072,4
23,Christine and the Queens,"People, I've been sad",0.632,0.378,1,-9.096,0,0.0362,0.257,0.000104,0.143,0.223,77.98,audio_features,5stdNNY7SUv12p5sLkaBlL,spotify:track:5stdNNY7SUv12p5sLkaBlL,https://api.spotify.com/v1/tracks/5stdNNY7SUv12p5sLkaBlL,https://api.spotify.com/v1/audio-analysis/5stdNNY7SUv12p5sLkaBlL,260877,4
24,Nas,Hero,0.676,0.913,4,-5.198,0,0.109,0.00103,3.54e-06,0.224,0.39,94.994,audio_features,1NRjLmipYrv39gWoqCl2w2,spotify:track:1NRjLmipYrv39gWoqCl2w2,https://api.spotify.com/v1/tracks/1NRjLmipYrv39gWoqCl2w2,https://api.spotify.com/v1/audio-analysis/1NRjLmipYrv39gWoqCl2w2,240000,4
25,Post Malone,Better Now,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
26,Anabel Englund,So Hot - MK x Nightlapse Remix,0.642,0.909,0,-5.119,0,0.0282,0.00283,0.00057,0.0552,0.633,123.019,audio_features,41hcstGzn592p7hyWMfOjv,spotify:track:41hcstGzn592p7hyWMfOjv,https://api.spotify.com/v1/tracks/41hcstGzn592p7hyWMfOjv,https://api.spotify.com/v1/audio-analysis/41hcstGzn592p7hyWMfOjv,225366,4
27,Skip Marley,Slow Down (with H.E.R.),0.683,0.715,11,-6.024,0,0.0789,0.0409,1.72e-06,0.0935,0.77,99.989,audio_features,73FDJgnjt6ZcxoiavN6XrS,spotify:track:73FDJgnjt6ZcxoiavN6XrS,https://api.spotify.com/v1/tracks/73FDJgnjt6ZcxoiavN6XrS,https://api.spotify.com/v1/audio-analysis/73FDJgnjt6ZcxoiavN6XrS,195067,4
28,Labrinth,Misbehaving - The Misfit Version,0.736,0.694,11,-5.617,0,0.0837,0.0341,0.000288,0.176,0.659,125.016,audio_features,20kAL8tWcg7RHtemfkeF8g,spotify:track:20kAL8tWcg7RHtemfkeF8g,https://api.spotify.com/v1/tracks/20kAL8tWcg7RHtemfkeF8g,https://api.spotify.com/v1/audio-analysis/20kAL8tWcg7RHtemfkeF8g,193750,4
29,Sade,Lovers Rock,0.746,0.453,2,-11.767,1,0.0439,0.0232,0.000695,0.0748,0.756,146.011,audio_features,3MwBgLrAOu4dj6t9QSgAZ0,spotify:track:3MwBgLrAOu4dj6t9QSgAZ0,https://api.spotify.com/v1/tracks/3MwBgLrAOu4dj6t9QSgAZ0,https://api.spotify.com/v1/audio-analysis/3MwBgLrAOu4dj6t9QSgAZ0,253107,4
30,Sam Smith,To Die For - Ólafur Arnalds Remix,0.204,0.282,9,-9.774,0,0.035,0.938,0.000388,0.109,0.128,169.386,audio_features,5TAKAAtBgqcylTFei8fFGg,spotify:track:5TAKAAtBgqcylTFei8fFGg,https://api.spotify.com/v1/tracks/5TAKAAtBgqcylTFei8fFGg,https://api.spotify.com/v1/audio-analysis/5TAKAAtBgqcylTFei8fFGg,210001,4
31,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,audio_features,2Cd9iWfcOpGDHLz6tVA3G4,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/audio-analysis/2Cd9iWfcOpGDHLz6tVA3G4,202627,4
32,Fall Out Boy,Heaven’s Gate,0.398,0.586,6,-4.975,0,0.0344,0.0166,0.0,0.334,0.214,176.043,audio_features,4lN5YgMQNBANIKWSl6G54k,spotify:track:4lN5YgMQNBANIKWSl6G54k,https://api.spotify.com/v1/tracks/4lN5YgMQNBANIKWSl6G54k,https://api.spotify.com/v1/audio-analysis/4lN5YgMQNBANIKWSl6G54k,225707,3
33,Sade,By Your Side,0.653,0.433,11,-10.487,1,0.0295,0.0901,0.00394,0.0765,0.582,146.097,audio_features,3VcmjpCGGY4ReELVr4R7aa,spotify:track:3VcmjpCGGY4ReELVr4R7aa,https://api.spotify.com/v1/tracks/3VcmjpCGGY4ReELVr4R7aa,https://api.spotify.com/v1/audio-analysis/3VcmjpCGGY4ReELVr4R7aa,274600,4
34,Nathaniel Rateliff,Summer's End,0.55,0.368,3,-9.856,1,0.0276,0.906,0.0148,0.106,0.192,153.16,audio_features,0t3RxYkYDEl777X14mS0n2,spotify:track:0t3RxYkYDEl777X14mS0n2,https://api.spotify.com/v1/tracks/0t3RxYkYDEl777X14mS0n2,https://api.spotify.com/v1/audio-analysis/0t3RxYkYDEl777X14mS0n2,218999,4
35,Taylor Swift,the 1,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,audio_features,0Jlcvv8IykzHaSmj49uNW8,spotify:track:0Jlcvv8IykzHaSmj49uNW8,https://api.spotify.com/v1/tracks/0Jlcvv8IykzHaSmj49uNW8,https://api.spotify.com/v1/audio-analysis/0Jlcvv8IykzHaSmj49uNW8,210252,4
36,Paco Amoroso,Mi Deseo,0.493,0.674,9,-9.601,0,0.0896,0.62,0.000558,0.11,0.83,163.484,audio_features,450FSv8M9o6zfYHfvWdpJS,spotify:track:450FSv8M9o6zfYHfvWdpJS,https://api.spotify.com/v1/tracks/450FSv8M9o6zfYHfvWdpJS,https://api.spotify.com/v1/audio-analysis/450FSv8M9o6zfYHfvWdpJS,175610,4
37,Sofi Tukker,House Arrest - Jacques Lu Cont Remix,0.661,0.712,7,-5.975,0,0.0318,0.0126,0.846,0.0793,0.382,123.996,audio_features,116CvP9N06N2qeP7xwUfmA,spotify:track:116CvP9N06N2qeP7xwUfmA,https://api.spotify.com/v1/tracks/116CvP9N06N2qeP7xwUfmA,https://api.spotify.com/v1/audio-analysis/116CvP9N06N2qeP7xwUfmA,282468,4
38,ZAYN,There You Are,0.452,0.688,0,-4.84,0,0.0385,0.0263,0.0,0.11,0.313,76.99,audio_features,155EsNGoXo7XSVF84oTPam,spotify:track:155EsNGoXo7XSVF84oTPam,https://api.spotify.com/v1/tracks/155EsNGoXo7XSVF84oTPam,https://api.spotify.com/v1/audio-analysis/155EsNGoXo7XSVF84oTPam,199600,4
39,Doja Cat,Say So,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,237893,4
