,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
88,Child's Play,0.219,0.632,8,-12.258,1,0.0683,0.00117,0.195,0.593,0.429,175.067,audio_features,39nuiu3osC4Dlm69o3FLUp,spotify:track:39nuiu3osC4Dlm69o3FLUp,https://api.spotify.com/v1/tracks/39nuiu3osC4Dlm69o3FLUp,https://api.spotify.com/v1/audio-analysis/39nuiu3osC4Dlm69o3FLUp,236722,4
89,Clay,0.364,0.962,0,-4.463,1,0.17,0.0439,0.0012,0.33,0.355,125.69,audio_features,05timrNREm3y0Swwkl9TX0,spotify:track:05timrNREm3y0Swwkl9TX0,https://api.spotify.com/v1/tracks/05timrNREm3y0Swwkl9TX0,https://api.spotify.com/v1/audio-analysis/05timrNREm3y0Swwkl9TX0,165240,4
90,Under Your Window,0.566,0.943,10,-4.563,1,0.0511,0.0251,0.0566,0.0931,0.463,87.957,audio_features,7x8gYowWkyq88iwEUidjXv,spotify:track:7x8gYowWkyq88iwEUidjXv,https://api.spotify.com/v1/tracks/7x8gYowWkyq88iwEUidjXv,https://api.spotify.com/v1/audio-analysis/7x8gYowWkyq88iwEUidjXv,205296,4
91,Bunker Buster,0.545,0.772,2,-7.807,1,0.0482,0.0014,0.884,0.161,0.389,120.421,audio_features,7rqZJ8JM8nlNHb4p8eCSTR,spotify:track:7rqZJ8JM8nlNHb4p8eCSTR,https://api.spotify.com/v1/tracks/7rqZJ8JM8nlNHb4p8eCSTR,https://api.spotify.com/v1/audio-analysis/7rqZJ8JM8nlNHb4p8eCSTR,355989,4
92,Golden Age Saturday,0.636,0.815,0,-6.485,1,0.0752,0.0254,0.000146,0.167,0.94,139.788,audio_features,0tt3EP7bPHlhKqkg7TG4Yr,spotify:track:0tt3EP7bPHlhKqkg7TG4Yr,https://api.spotify.com/v1/tracks/0tt3EP7bPHlhKqkg7TG4Yr,https://api.spotify.com/v1/audio-analysis/0tt3EP7bPHlhKqkg7TG4Yr,192707,4
93,Sun Poisioning,0.249,0.469,11,-9.632,1,0.0322,0.000463,0.141,0.146,0.178,115.239,audio_features,3eO4QTkP33KfhI1KiMMiUv,spotify:track:3eO4QTkP33KfhI1KiMMiUv,https://api.spotify.com/v1/tracks/3eO4QTkP33KfhI1KiMMiUv,https://api.spotify.com/v1/audio-analysis/3eO4QTkP33KfhI1KiMMiUv,349321,3
94,Youth and Lust,0.608,0.877,0,-9.539,1,0.0337,0.381,0.803,0.13,0.873,120.002,audio_features,6fzhq0ZmyO7xZI0rkH9gw3,spotify:track:6fzhq0ZmyO7xZI0rkH9gw3,https://api.spotify.com/v1/tracks/6fzhq0ZmyO7xZI0rkH9gw3,https://api.spotify.com/v1/audio-analysis/6fzhq0ZmyO7xZI0rkH9gw3,242000,4
95,I've Wasted So Much Time,0.511,0.675,0,-12.354,1,0.0425,0.137,0.907,0.384,0.668,178.074,audio_features,2FNL28i0Q3RkwSYKK1aC42,spotify:track:2FNL28i0Q3RkwSYKK1aC42,https://api.spotify.com/v1/tracks/2FNL28i0Q3RkwSYKK1aC42,https://api.spotify.com/v1/audio-analysis/2FNL28i0Q3RkwSYKK1aC42,164597,4
96,Perfumed Garden - 2014 Remaster,0.322,0.798,6,-5.581,0,0.0399,0.000791,0.000604,0.243,0.573,130.899,audio_features,698T8oTvGVtymx0KpCqPsy,spotify:track:698T8oTvGVtymx0KpCqPsy,https://api.spotify.com/v1/tracks/698T8oTvGVtymx0KpCqPsy,https://api.spotify.com/v1/audio-analysis/698T8oTvGVtymx0KpCqPsy,273136,4
97,Deserter,0.685,0.784,11,-7.305,1,0.026,0.00144,0.504,0.0797,0.766,140.002,audio_features,60NYRHjg9z1wvv7SZgNeMK,spotify:track:60NYRHjg9z1wvv7SZgNeMK,https://api.spotify.com/v1/tracks/60NYRHjg9z1wvv7SZgNeMK,https://api.spotify.com/v1/audio-analysis/60NYRHjg9z1wvv7SZgNeMK,235787,4
98,Talking Distance,0.376,0.654,10,-8.819,1,0.0388,0.000675,0.219,0.162,0.521,110.033,audio_features,1ouBJ6YOMFRj1eLOcMzA0y,spotify:track:1ouBJ6YOMFRj1eLOcMzA0y,https://api.spotify.com/v1/tracks/1ouBJ6YOMFRj1eLOcMzA0y,https://api.spotify.com/v1/audio-analysis/1ouBJ6YOMFRj1eLOcMzA0y,249579,4
99,A Different Arrangement,0.57,0.551,1,-9.615,1,0.028,0.0485,0.743,0.11,0.25,94.979,audio_features,6GG52w6w4QYSfo8doVm5Io,spotify:track:6GG52w6w4QYSfo8doVm5Io,https://api.spotify.com/v1/tracks/6GG52w6w4QYSfo8doVm5Io,https://api.spotify.com/v1/audio-analysis/6GG52w6w4QYSfo8doVm5Io,206000,4
