,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
33,"Sunflower, Vol. 6",0.566,0.846,7,-6.904,0,0.035,0.000564,0.000795,0.121,0.86,160.02,audio_features,6iYMfxznTBlcVOgRHab2W0,spotify:track:6iYMfxznTBlcVOgRHab2W0,https://api.spotify.com/v1/tracks/6iYMfxznTBlcVOgRHab2W0,https://api.spotify.com/v1/audio-analysis/6iYMfxznTBlcVOgRHab2W0,221827,4
34,Toronto,0.604,0.328,11,-9.478,1,0.212,0.32,5.44e-05,0.118,0.338,68.718,audio_features,2w2XmZLVvSSb30Dkkfeq2X,spotify:track:2w2XmZLVvSSb30Dkkfeq2X,https://api.spotify.com/v1/tracks/2w2XmZLVvSSb30Dkkfeq2X,https://api.spotify.com/v1/audio-analysis/2w2XmZLVvSSb30Dkkfeq2X,177057,4
35,One Eye Open,0.618,0.759,8,-8.27,1,0.045,0.0858,0.799,0.0803,0.963,75.002,audio_features,33NnVxBPmn2T6MMxaz1WZ5,spotify:track:33NnVxBPmn2T6MMxaz1WZ5,https://api.spotify.com/v1/tracks/33NnVxBPmn2T6MMxaz1WZ5,https://api.spotify.com/v1/audio-analysis/33NnVxBPmn2T6MMxaz1WZ5,283361,4
36,In A Good Way,0.587,0.295,9,-8.284,1,0.03,0.175,0.0233,0.238,0.336,70.82,audio_features,2KTIvRAAihIGm8FyhEKdxp,spotify:track:2KTIvRAAihIGm8FyhEKdxp,https://api.spotify.com/v1/tracks/2KTIvRAAihIGm8FyhEKdxp,https://api.spotify.com/v1/audio-analysis/2KTIvRAAihIGm8FyhEKdxp,223534,4
37,Lucky,0.637,0.722,7,-4.016,1,0.0292,0.114,0.0644,0.0742,0.302,130.632,audio_features,7KkaLfkFpMErkarBZivJbP,spotify:track:7KkaLfkFpMErkarBZivJbP,https://api.spotify.com/v1/tracks/7KkaLfkFpMErkarBZivJbP,https://api.spotify.com/v1/audio-analysis/7KkaLfkFpMErkarBZivJbP,153415,4
38,Say So,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,237893,4
39,Old Bone - Jim-E Stack Remix,0.755,0.593,5,-9.472,1,0.0484,0.281,0.504,0.097,0.501,93.002,audio_features,6YKLlLoEYRujlAH8SgkTge,spotify:track:6YKLlLoEYRujlAH8SgkTge,https://api.spotify.com/v1/tracks/6YKLlLoEYRujlAH8SgkTge,https://api.spotify.com/v1/audio-analysis/6YKLlLoEYRujlAH8SgkTge,207787,4
40,Shark Smile - Edit,0.688,0.737,6,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,audio_features,4rCrSoFxqRFmnHQyFGlkbA,spotify:track:4rCrSoFxqRFmnHQyFGlkbA,https://api.spotify.com/v1/tracks/4rCrSoFxqRFmnHQyFGlkbA,https://api.spotify.com/v1/audio-analysis/4rCrSoFxqRFmnHQyFGlkbA,194760,4
41,Day from Night,0.54,0.459,5,-8.702,1,0.0283,0.586,0.026,0.351,0.638,76.045,audio_features,3ZCNIAhu9BEz0OccqkJken,spotify:track:3ZCNIAhu9BEz0OccqkJken,https://api.spotify.com/v1/tracks/3ZCNIAhu9BEz0OccqkJken,https://api.spotify.com/v1/audio-analysis/3ZCNIAhu9BEz0OccqkJken,248836,4
42,Harvey,0.588,0.855,9,-6.153,1,0.0372,0.0735,0.815,0.128,0.717,141.941,audio_features,1zFbBrZmJr1Z49HYe84dBg,spotify:track:1zFbBrZmJr1Z49HYe84dBg,https://api.spotify.com/v1/tracks/1zFbBrZmJr1Z49HYe84dBg,https://api.spotify.com/v1/audio-analysis/1zFbBrZmJr1Z49HYe84dBg,211165,4
43,Heartless (feat. Morgan Wallen),0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,audio_features,3FU6urUVsgXa6RBuV2PdRk,spotify:track:3FU6urUVsgXa6RBuV2PdRk,https://api.spotify.com/v1/tracks/3FU6urUVsgXa6RBuV2PdRk,https://api.spotify.com/v1/audio-analysis/3FU6urUVsgXa6RBuV2PdRk,169227,4
44,good guys,0.455,0.677,0,-7.719,1,0.0751,0.593,0.0,0.0899,0.248,169.919,audio_features,3c7peg169veVaJRzlbCaKw,spotify:track:3c7peg169veVaJRzlbCaKw,https://api.spotify.com/v1/tracks/3c7peg169veVaJRzlbCaKw,https://api.spotify.com/v1/audio-analysis/3c7peg169veVaJRzlbCaKw,224995,4
45,So Hot You're Hurting My Feelings,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,0.121,0.847,111.975,audio_features,5B6Kjha6RRIMWGN7zGsAaT,spotify:track:5B6Kjha6RRIMWGN7zGsAaT,https://api.spotify.com/v1/tracks/5B6Kjha6RRIMWGN7zGsAaT,https://api.spotify.com/v1/audio-analysis/5B6Kjha6RRIMWGN7zGsAaT,183861,4
46,Kingston,0.73,0.344,10,-9.541,0,0.0394,0.138,0.00128,0.134,0.543,142.129,audio_features,0EDQwboQDmswDRn58wcslg,spotify:track:0EDQwboQDmswDRn58wcslg,https://api.spotify.com/v1/tracks/0EDQwboQDmswDRn58wcslg,https://api.spotify.com/v1/audio-analysis/0EDQwboQDmswDRn58wcslg,202160,4
47,Andromeda,0.467,0.462,1,-7.939,0,0.0271,0.37,0.0011,0.356,0.19,131.286,audio_features,3NQMi6VzmxmKeqhcbE02WI,spotify:track:3NQMi6VzmxmKeqhcbE02WI,https://api.spotify.com/v1/tracks/3NQMi6VzmxmKeqhcbE02WI,https://api.spotify.com/v1/audio-analysis/3NQMi6VzmxmKeqhcbE02WI,280187,4
48,Valleys (My Love),0.568,0.609,11,-7.167,1,0.0347,0.638,0.553,0.099,0.47,88.673,audio_features,6gSVpASv2ElWCX6cOqJWLM,spotify:track:6gSVpASv2ElWCX6cOqJWLM,https://api.spotify.com/v1/tracks/6gSVpASv2ElWCX6cOqJWLM,https://api.spotify.com/v1/audio-analysis/6gSVpASv2ElWCX6cOqJWLM,236453,4
49,Mixer,0.703,0.742,9,-5.542,1,0.0454,0.0509,0.000636,0.625,0.812,94.926,audio_features,58pJZsMEPXmYX8gvXWyt3V,spotify:track:58pJZsMEPXmYX8gvXWyt3V,https://api.spotify.com/v1/tracks/58pJZsMEPXmYX8gvXWyt3V,https://api.spotify.com/v1/audio-analysis/58pJZsMEPXmYX8gvXWyt3V,192824,4
50,Beauty Sleep,0.603,0.531,1,-12.679,1,0.0416,0.917,0.734,0.109,0.297,80.744,audio_features,1jdW501nbqO2ZpK0pLfW1W,spotify:track:1jdW501nbqO2ZpK0pLfW1W,https://api.spotify.com/v1/tracks/1jdW501nbqO2ZpK0pLfW1W,https://api.spotify.com/v1/audio-analysis/1jdW501nbqO2ZpK0pLfW1W,286813,4
